player,team,week,opponent,points,minutes,goal,assist,cleanSheet,goalsConceded,influence,creativity,threat,iCTIndex
Salah,LIV,1,WHU (H) 4-0,8,86,1,0,1,0,47.6,29,92,16.9
Salah,LIV,2,CRY (A) 0-2,9,90,0,2,1,0,30.6,41.5,81,15.3
Salah,LIV,3,BHA (H) 1-0,8,90,1,0,1,0,49,72,82,20.3
Salah,LIV,4,LEI (A) 1-2,2,70,0,0,0,1,5,12.5,23,4.1
Salah,LIV,5,TOT (A) 1-2,2,90,0,0,0,1,16,31.8,74,12.2
Salah,LIV,6,SOU (H) 3-0,8,90,1,0,1,0,34,2.9,60,9.7
Salah,LIV,7,CHE (A) 1-1,2,65,0,0,0,1,9.4,25.7,40,7.5
Salah,LIV,8,MCI (H) 0-0,3,90,0,0,1,0,0,1.9,31,3.3
Salah,LIV,9,HUD (A) 0-1,8,90,1,0,1,0,43,12.5,76,13.2
Salah,LIV,10,CAR (H) 4-1,15,90,1,2,0,1,72.4,45.8,56,17.4
Salah,LIV,11,ARS (A) 1-1,2,90,0,0,0,1,12.8,53.7,49,11.6
Salah,LIV,12,FUL (H) 2-0,8,90,1,0,1,0,41.6,6.3,83,13.1
Salah,LIV,13,WAT (A) 0-3,8,85,1,0,1,0,39.8,4,40,8.4
Salah,LIV,14,EVE (H) 1-0,3,74,0,0,1,0,6,49.5,9,6.5
Salah,LIV,15,BUR (A) 1-3,4,25,0,1,0,0,28.4,35.3,56,12
Salah,LIV,16,BOU (A) 0-4,21,90,3,0,1,0,107,28.9,83,21.9
Salah,LIV,17,MUN (H) 3-1,2,90,0,0,0,1,9.8,43.5,29,8.2
Salah,LIV,18,WOL (A) 0-2,12,90,1,1,1,0,64.8,40.8,103,20.9
Salah,LIV,19,NEW (H) 4-0,12,90,1,1,1,0,52.2,32,31,11.5
Salah,LIV,20,ARS (H) 5-1,12,90,1,1,0,1,55.4,26.4,61,14.3
Salah,LIV,21,MCI (A) 2-1,2,90,0,0,0,2,6.4,16.8,23,4.6
Salah,LIV,22,BHA (A) 0-1,11,90,1,0,1,0,46.4,35.4,52,13.4
Salah,LIV,23,CRY (H) 4-3,15,90,2,0,0,2,73.2,21,68,16.2
Salah,LIV,24,LEI (H) 1-1,2,90,0,0,0,1,3.4,15.8,40,5.9
Salah,LIV,25,WHU (A) 1-1,2,90,0,0,0,1,7.6,13.8,48,6.9
Salah,LIV,26,BOU (H) 3-0,8,90,1,0,1,0,43.2,38,63,14.4
Salah,LIV,27,MUN (A) 0-0,3,78,0,0,1,0,0.2,4,13,1.7
