geoID,ageUnder5,age5To9,age10To14,age15To19,age20To24,age25To34,age35To44,age45To54,age55To59,age60To64,age65to74,age75To84,ageOver85,ageMedian,raceWhite,percentWhite,raceBlack,percentBlack,raceAmericanIndian,percentAmericanIndian,raceAsian,percentAsian,raceOther,percentOther,raceTwoOrMore,percentTwoOrMore,raceHispanic,percentHispanic,percentBelowPovertyNoWork,belowPovertyNoWork,percentBelowPovertyPartTime,belowPovertyPartTime,percentBelowPovertyFullTime,belowPovertyFullTime,percentBelowPovertyOverSeventyfive,belowPovertyOverSeventyfive,percentBelowPoverty65to74,belowPoverty65to74,percentBelowPoverty55to64,belowPoverty55to64,percentBelowPoverty45to54,belowPoverty45to54,percentBelowPoverty35to44,belowPoverty35to44,percentBelowPoverty25to34,belowPoverty25to34,percentBelowPoverty18to24,belowPoverty18to24,incomeBelow185Poverty,incomeBelow150Poverty,incomeBelow125Poverty,incomeBelow50Poverty,belowPovertyWhite,percentBelowPovertyWhite,belowPovertyHispanic,percentBelowPovertyHispanic,belowPovertyFemale,percentBelowPovertyFemale,belowPovertyMale,percentBelowPovertyMale,belowPovertyOver65,percentBelowPovertyOver65,belowPoverty18to64,percentBelowPoverty18to64,belowPoverty5to17,percentBelowPoverty5to17,belowPovertyUnder5,percentBelowPovertyUnder5,belowPovertyTotal,percentBelowPovertyTotal
1400000US55001950100,104,75,110,137,12,182,178,353,234,380,773,279,118,61.3,2853,97.2,0,0,7,0.2,0,0,0,0,75,2.6,12,0.4,19.9,53,6.7,6,0.6,1,10.8,9,9.9,14,1.7,2,6.9,7,18.2,8,57.6,19,25,1,495,344,302,46,185,6.5,0,0,64,4.5,121,8,49,4.2,76,5.5,47,17.3,13,12.5,185,6.3
1400000US55001950201,43,31,65,47,60,88,108,206,162,164,259,97,13,55.8,1297,96.6,0,0,11,0.8,0,0,2,0.1,33,2.5,24,1.8,38.5,52,28.6,18,0,0,4.5,2,13.8,8,50,39,31.8,7,13.6,3,75,6,50,5,385,309,262,38,192,14.9,0,0,121,18.1,89,13.2,25,6.8,142,17.7,28,21.7,15,34.9,210,15.6
1400000US55001950202,31,104,95,103,63,175,193,362,290,316,541,241,67,57.7,2529,98,5,0.2,7,0.3,0,0,8,0.3,32,1.2,72,2.8,35.1,112,22.6,24,10.9,13,18.8,21,15.8,25,35.6,47,30.4,24,48.6,17,64.7,11,0,0,889,698,550,118,363,14.7,3,4.2,170,14.6,216,15.3,86,10.1,214,14.9,72,27.6,14,45.2,386,15
1400000US55001950400,162,348,205,226,255,433,521,613,311,337,561,373,184,48.3,4322,95.4,41,0.9,16,0.4,44,1,35,0.8,71,1.6,198,4.4,31.3,197,32.7,89,12.6,31,15.4,38,22.5,50,31.2,63,26.8,51,45.7,63,19,16,44.2,23,1844,1509,1281,305,784,19.2,11,7.6,354,16.1,463,21.7,119,11.3,457,18.6,186,27.5,55,36.4,817,18.8
1400000US55001950501,79,50,46,52,85,123,100,186,139,145,289,157,60,56,1469,97.2,35,2.3,7,0.5,0,0,0,0,0,0,69,4.6,31.4,53,19.8,18,5.3,2,11.3,6,9.1,7,54.1,33,12.2,9,69.2,9,52.9,9,0,0,585,467,297,25,245,17.5,9,13,113,16.9,150,17.8,35,6.9,160,19.7,33,28.7,35,44.3,263,17.4
1400000US55001950502,138,146,151,160,202,628,643,672,260,209,425,173,70,42.9,3040,78.4,544,14,70,1.8,8,0.2,95,2.5,104,2.7,311,8,29.6,63,44.7,55,1.8,3,14.1,11,12.7,14,32.8,41,17.7,17,0,0,33.3,13,100,21,986,687,500,157,305,11.2,21,38.9,159,11.6,179,12.2,47,7.2,178,10.7,110,28.9,3,2.2,338,11.9
1400000US55001950700,122,162,182,152,144,306,343,593,363,350,482,246,73,51.1,3403,96.7,21,0.6,8,0.2,0,0,14,0.4,72,2,88,2.5,31.4,89,9.8,21,0,0,15.6,19,6.6,10,13.4,23,18.6,27,16.2,6,40.4,19,33.3,6,903,524,394,88,198,6,16,19,128,7.3,93,5.3,43,5.4,134,6.3,39,8.6,5,4.2,221,6.3
1400000US55003940000,114,198,164,129,123,174,199,283,104,89,149,61,20,35.1,776,42.9,7,0.4,937,51.9,6,0.3,15,0.8,66,3.7,107,5.9,58.9,89,51.7,30,0,0,18.5,5,46.2,18,27.5,19,61.2,30,26.7,8,18.9,7,74.4,29,898,782,600,219,136,18.7,21,19.6,285,32.4,233,25.3,57,24.8,246,24.4,153,34.2,62,54.4,518,28.7
1400000US55003950300,245,94,130,222,389,342,303,381,143,226,156,171,33,33.8,2468,87.1,4,0.1,222,7.8,72,2.5,0,0,69,2.4,144,5.1,31.5,52,48.3,85,3.6,11,0,0,0,0,32.4,34,12.2,18,0,0,35.6,52,35.2,44,810,636,495,177,166,8.4,37,29.4,164,12.8,207,17.6,0,0,250,15.9,37,13.3,84,34.3,371,15.1
1400000US55003950400,120,75,206,118,75,207,209,291,180,161,288,148,126,47.7,2005,91,35,1.6,139,6.3,0,0,0,0,25,1.1,34,1.5,30.8,105,27.1,46,0,0,29.1,39,10.8,13,29.9,41,9.5,9,0,0,14,17,35.5,11,839,583,469,138,261,14.3,14,41.2,235,21.2,98,10.3,52,12.3,138,12.1,121,32.2,22,18.3,333,16.2
1400000US55003950500,134,219,184,187,70,268,188,345,158,146,228,62,26,37.3,2100,94.8,2,0.1,59,2.7,2,0.1,10,0.5,42,1.9,21,0.9,46.6,48,24,18,2.6,2,11.8,4,27.5,11,38.7,24,28.9,13,20.8,5,14.3,6,0,0,761,489,404,48,211,10.2,5,23.8,102,10,121,10.3,24,7.6,112,9,78,15.3,9,6.7,223,10.1
1400000US55003950600,56,144,103,49,46,165,134,192,135,122,186,92,39,47.6,1391,95.1,10,0.7,46,3.1,0,0,4,0.3,12,0.8,30,2.1,20.5,27,41.5,34,0,0,12.5,7,10.3,4,20.8,15,33.3,13,33.3,2,29.6,16,100,4,559,402,350,103,183,13.7,26,86.7,128,18.3,92,12.7,21,7,108,13.4,81,30.8,10,17.9,220,15.4
1400000US55003950700,115,81,115,142,70,133,239,342,228,236,273,154,61,51.4,2146,98,0,0,16,0.7,3,0.1,0,0,24,1.1,37,1.7,33.2,78,41.8,38,0,0,34.3,35,10.4,10,28,33,33.3,19,32,8,0,0,60,6,813,651,430,68,276,13.1,5,13.5,161,15.4,134,11.8,58,11.9,157,12.1,48,16.6,32,29.9,295,13.5
1400000US55003950800,102,148,215,275,288,421,389,392,262,208,296,190,37,39.3,2647,82.1,16,0.5,308,9.6,6,0.2,0,0,246,7.6,19,0.6,36,100,47.8,141,0,0,14.4,13,13,15,27.9,31,17.4,19,0,0,19.7,42,53.5,121,1241,764,665,121,323,12.3,0,0,272,17.4,115,7.3,28,5.4,298,14.6,45,9.2,16,16.5,387,12.3
1400000US55003990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US55005000100,169,189,242,176,120,374,498,609,441,295,582,263,55,49.9,3918,97.6,0,0,15,0.4,35,0.9,25,0.6,20,0.5,82,2,37.3,79,26.8,42,5.3,12,28.1,32,16.9,12,25,27,16.7,22,0,0,19.2,15,70.4,19,765,573,455,117,253,6.6,25,30.5,171,8.7,116,5.7,95,10.6,133,5.6,38,6.9,21,13,287,7.2
1400000US55005000200,217,217,220,243,195,405,394,532,307,283,453,333,179,46.4,3684,92.6,0,0,165,4.1,0,0,70,1.8,59,1.5,176,4.4,41.3,182,28.5,55,3.8,10,21.2,48,12.4,12,21.1,32,46.2,72,42.7,32,11.1,11,41.3,38,1359,1020,831,180,444,12.6,34,19.3,337,16.6,240,12.8,77,8.3,309,14.1,138,23.9,53,24.7,577,14.7
1400000US55005000300,275,286,228,149,252,529,415,556,306,293,432,258,62,41.8,3758,93,45,1.1,85,2.1,25,0.6,93,2.3,35,0.9,175,4.3,43.4,131,44.5,93,1.3,4,17.7,20,16.4,19,16.4,24,24.8,32,33.7,34,33.3,34,57.3,63,1191,819,643,158,431,11.7,13,7.5,253,12.9,242,11.8,67,8.9,319,13.3,64,10.9,45,17.2,495,12.4
1400000US55005000400,356,292,345,291,437,639,392,768,409,361,389,320,109,40.2,4584,89.7,447,8.8,0,0,59,1.2,2,0,16,0.3,113,2.2,38.8,163,20.6,26,1.7,6,4.5,8,14.4,18,29.9,52,31.9,58,30.8,16,22.4,19,7.5,7,1771,1329,847,184,530,12.4,0,0,292,12.6,238,9.2,29,3.8,282,9.5,62,7.6,157,44.1,530,10.8
1400000US55005000500,264,193,252,401,379,519,436,613,339,207,493,236,198,40.7,4253,93.9,0,0,31,0.7,0,0,22,0.5,224,4.9,54,1.2,30.8,147,26.6,59,0,0,21.1,56,22.4,43,16,17,18.4,35,0,0,0,0,34.2,55,1907,1118,889,59,462,11,0,0,259,11.2,231,10.5,99,10.8,262,9.9,28,4.2,101,38.3,490,10.9
1400000US55005000600,331,504,261,231,343,766,681,759,373,323,642,433,266,41.4,5810,98.3,8,0.1,22,0.4,65,1.1,0,0,8,0.1,65,1.1,36.9,288,28.6,181,0,0,25.6,83,30.3,70,16.1,55,29.7,82,11.4,20,19.3,67,50.8,92,2380,1795,1634,558,1056,19.2,56,86.2,725,25.1,468,17,171,14.1,671,20.3,316,39.8,35,10.6,1193,21.1
1400000US55005000800,305,469,410,395,206,562,797,779,466,338,590,205,39,40.1,5390,96.9,10,0.2,29,0.5,53,1,2,0,77,1.4,43,0.8,35,110,25.1,42,1.9,7,14.3,11,13.4,19,28.2,50,13.1,21,11,16,26.1,23,24.6,15,1638,1085,829,277,497,9.3,5,11.6,259,9.5,248,8.9,44,5.3,283,8.6,132,11.9,48,16.3,507,9.2
1400000US55005000900,323,311,364,339,212,534,558,803,359,383,453,310,105,43.5,4893,96.8,18,0.4,18,0.4,14,0.3,60,1.2,51,1,164,3.2,33.7,96,40.1,55,6,17,21.1,23,19.5,17,21.5,35,16.8,29,15.6,10,38.5,15,36,18,1319,889,631,138,404,8.6,10,6.1,249,10.1,171,6.8,63,8,206,7,110,12.3,41,12.7,420,8.5
1400000US55005001001,96,98,116,125,72,173,191,286,190,115,213,74,23,45.7,1763,99.5,1,0.1,0,0,0,0,0,0,8,0.5,40,2.3,47.7,52,33.3,11,2.6,3,17.9,5,5.7,2,52.2,35,12.8,5,7.4,2,20.5,8,40.9,9,583,417,329,152,212,12.3,40,100,139,16.2,114,12.5,7,2.3,124,11.7,79,26.3,43,44.8,253,14.3
1400000US55005001002,229,316,290,245,210,555,585,709,464,536,828,435,176,50.4,5538,99.3,0,0,14,0.3,22,0.4,2,0,2,0,147,2.6,45.7,216,27.8,62,1.5,5,33.5,60,16.9,26,34.3,69,37.6,64,19.4,30,7.4,9,46.3,25,1636,1298,988,206,694,13.2,5,3.4,337,12.7,378,13.5,110,8.1,364,11.6,183,24.7,58,25.8,715,13.1
1400000US55007960100,122,132,182,166,128,283,254,326,252,286,442,132,39,48.9,1362,49.6,38,1.4,1215,44.3,42,1.5,7,0.3,80,2.9,39,1.4,43.6,105,19.4,41,3.1,4,22.7,22,15.7,21,25.2,35,30.2,19,8.6,5,43.3,26,69.6,16,1046,836,731,183,116,8.7,15,38.5,276,20.3,224,16.4,50,8.2,266,16.7,129,31.9,55,47.4,500,18.3
1400000US55007960200,57,89,85,72,55,108,185,292,124,197,299,118,43,52.4,1672,97,9,0.5,16,0.9,0,0,0,0,27,1.6,37,2.1,35.8,43,21.9,21,2.2,2,25,8,18.8,13,17.9,14,21.1,15,36,9,16,4,42.9,3,430,330,216,48,139,8.5,6,16.2,79,9.6,73,8.2,36,7.8,94,9.5,20,9.1,2,3.5,152,8.8
1400000US55007960300,161,203,187,184,127,373,363,529,346,363,421,213,79,48.8,3258,91.8,3,0.1,155,4.4,19,0.5,16,0.5,98,2.8,43,1.2,19.8,68,14.3,27,2.1,6,4.4,6,4.7,8,19.6,38,13.3,15,6.7,5,8.3,9,80,12,994,831,587,187,349,11,9,21.4,249,14.9,155,8.7,23,3.5,216,10.1,121,24.3,44,27.3,404,11.7
1400000US55007960400,216,231,285,278,266,354,511,794,435,477,635,319,99,48.9,4633,94.6,24,0.5,123,2.5,14,0.3,14,0.3,92,1.9,110,2.2,27.8,121,27.8,72,2.4,8,13.2,29,15.2,22,20.5,36,13.3,24,19.2,23,19.6,10,27.4,32,1607,1154,823,124,397,8.7,0,0,231,9.8,195,7.8,73,6.9,247,8.5,89,12.7,17,8.2,426,8.7
1400000US55007960600,56,65,72,89,39,113,115,297,190,285,441,252,56,60,1993,96.3,18,0.9,49,2.4,2,0.1,0,0,8,0.4,14,0.7,26.3,61,35.8,38,3.5,3,20.3,24,0,0,27.1,26,50,43,0,0,26.5,9,0,0,541,395,276,52,154,7.8,11,78.6,94,9.2,117,11.3,40,5.3,128,12.2,27,13.4,16,28.6,211,10.3
1400000US55007990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US55009000100,268,241,220,278,221,497,328,369,120,122,125,57,27,28.4,1948,67.8,66,2.3,123,4.3,393,13.7,176,6.1,167,5.8,508,17.7,77.4,185,47.6,78,0,0,81.8,45,18.2,8,42.1,59,10.7,13,52.8,57,17.4,37,37.3,31,1503,1057,997,310,322,18.8,297,58.5,454,31.7,314,21.9,57,27.3,330,18.8,325,51.5,56,20.9,768,26.8
1400000US55009000200,637,338,277,348,381,1189,815,748,507,250,379,315,169,35.1,5257,82.7,240,3.8,111,1.7,93,1.5,200,3.1,452,7.1,729,11.5,57,255,39.9,134,6.3,47,30,74,32.5,50,20.2,46,11.9,20,62.2,140,3.7,12,51.9,94,2589,1836,1426,486,688,13.7,248,34,817,24.1,437,14.8,124,14.4,770,19.1,211,25.5,149,23.4,1254,19.7
1400000US55009000302,161,242,262,208,253,693,421,582,296,415,382,205,46,42.1,3458,83,25,0.6,188,4.5,307,7.4,138,3.3,50,1.2,287,6.9,39.9,184,43.6,156,5.5,34,33.7,31,24.6,30,10.9,30,33.6,88,31,53,15.4,45,43.3,97,1348,1161,830,237,317,9.5,107,37.3,237,12.7,303,13.2,61,9.6,367,13.1,84,14.6,28,17.4,540,13
1400000US55009000303,269,255,235,106,135,540,270,299,180,242,198,164,172,34.9,1868,60.9,414,13.5,458,14.9,240,7.8,22,0.7,63,2.1,359,11.7,65.7,220,57,94,0,0,48.1,77,69.6,16,35.1,61,32.7,50,28.1,16,44.8,69,75.8,25,1417,1225,1095,460,301,19,71,22.6,561,36,377,30.6,114,28.4,434,26.4,273,54.9,117,46.4,938,33.6
1400000US55009000401,416,237,230,244,333,1078,368,728,322,84,276,277,192,34.3,3427,71.6,324,6.8,155,3.2,227,4.7,195,4.1,457,9.6,295,6.2,43.8,321,74.6,203,0,0,17,40,38.5,40,7.1,18,46.2,109,40.6,54,35.8,154,46,109,2328,1843,1376,550,602,18.1,53,18,586,24.8,598,25.4,80,11.3,722,24.3,276,43.6,106,25.5,1184,25.1
1400000US55009000402,46,160,79,65,149,186,186,328,243,159,257,154,93,51,1958,93,0,0,14,0.7,28,1.3,10,0.5,95,4.5,55,2.6,21.1,41,18.8,25,0,0,0,0,14.8,13,14.7,25,18.6,16,26.8,11,1.4,1,0,0,532,300,237,36,93,4.9,55,100,99,9.6,49,4.6,13,2.6,81,6.4,43,15.2,11,23.9,148,7
1400000US55009000500,230,269,193,218,195,506,483,468,164,104,132,91,23,34.4,2733,88.8,52,1.7,12,0.4,177,5.8,0,0,102,3.3,104,3.4,59.9,106,49,102,2.6,8,0,0,0,0,59.8,52,12.9,19,40.3,81,10.6,11,38.6,39,1019,646,446,176,286,10.8,33,31.7,182,12,191,12.4,24,9.8,267,13.4,46,7.6,36,16.8,373,12.2
1400000US55009000600,314,207,415,132,133,570,447,354,311,224,423,312,175,38.4,3216,80.1,274,6.8,64,1.6,24,0.6,241,6,198,4.9,486,12.1,21.4,66,24.9,57,0,0,20.5,43,7.5,8,11.9,18,20.4,11,1.6,1,6.9,13,53.7,29,1414,965,673,145,166,5.3,20,4.2,181,8.8,172,8.9,59,6.5,153,7.4,83,11.8,58,19,353,8.9
1400000US55009000700,251,212,339,462,303,806,676,755,310,194,350,102,71,35.5,4002,82.8,53,1.1,144,3,200,4.1,136,2.8,296,6.1,485,10,24.3,80,27.5,88,2.5,12,0,0,13.7,25,0,0,25.8,56,16.1,24,27.8,50,12.3,25,1895,1423,1156,108,255,7,329,67.8,226,11.2,570,20.4,95,18.2,394,12,256,32.8,51,21.3,796,16.5
1400000US55009000800,81,221,172,42,128,298,196,163,99,101,98,67,28,31.6,1154,68.1,87,5.1,84,5,159,9.4,65,3.8,145,8.6,209,12.3,62.6,107,61.8,105,5.4,9,47.6,40,20.9,9,35.2,38,62,44,61,25,33.6,41,63.2,24,1154,987,886,339,518,50.7,90,44.3,406,45.3,293,37,56,29,406,40.9,188,44,49,65.3,699,41.4
1400000US55009000900,389,266,214,257,367,569,556,495,305,122,167,169,11,33.1,2892,74.4,104,2.7,94,2.4,13,0.3,403,10.4,368,9.5,1534,39.5,64.9,146,40,98,0,0,30.4,17,21.8,22,32.2,28,41.8,61,12.6,23,4.3,8,48.6,85,2187,1704,1272,286,383,19.7,361,23.5,657,34.9,345,17.5,39,11.2,586,23.4,182,28.1,195,55.1,1002,26
1400000US55009001000,63,20,42,38,111,266,166,233,103,70,61,62,23,41,1019,81,95,7.6,101,8,11,0.9,15,1.2,17,1.4,57,4.5,71.9,164,47.1,66,0,0,65.6,42,23.3,10,39.2,31,39.6,53,22.2,20,32.9,52,28.3,17,430,414,370,109,248,28.1,0,0,153,30.2,110,19.9,52,35.6,189,24.1,5,7.5,17,27,263,24.8
1400000US55009001100,144,196,224,181,208,208,214,373,65,81,103,39,18,29.2,1681,81.8,61,3,39,1.9,16,0.8,172,8.4,85,4.1,667,32.5,50,57,45.2,75,0,0,0,0,41.2,14,18.3,11,23.3,31,44.7,21,27,10,28,45,1340,998,859,208,337,28.8,354,53.1,422,40.1,339,34.5,14,8.8,379,30.2,317,64.3,51,40.5,761,37.4
1400000US55009001200,109,208,125,176,180,336,330,357,108,85,59,32,8,32.5,1340,63.4,187,8.8,94,4.4,60,2.8,218,10.3,209,9.9,525,24.8,50.8,100,41.3,100,0.7,2,38.2,13,0,0,32.3,43,30.5,58,17.5,20,18.6,30,58.7,37,1199,933,793,270,282,25.2,161,30.7,312,28.7,246,24.5,13,13.1,312,21.4,164,37.3,69,69.7,558,26.6
1400000US55009001300,249,197,103,285,264,433,304,459,179,134,179,78,47,32.9,2527,86.8,141,4.8,119,4.1,14,0.5,50,1.7,60,2.1,312,10.7,65.7,199,61.6,117,2,7,1.8,1,46.3,31,40.2,37,35.3,67,63.6,42,36.2,84,42.4,61,1356,1139,934,379,582,26.2,105,36,416,28.7,423,31.7,32,13.4,556,29.9,140,31.5,111,46.3,839,30.2
1400000US55009001400,271,187,430,122,211,706,713,464,298,194,196,30,45,35.2,3321,85.9,88,2.3,90,2.3,69,1.8,140,3.6,159,4.1,834,21.6,57.1,104,35.8,86,1.9,10,12.8,5,27,10,31,49,9.4,19,13.1,14,20.4,58,38.5,45,1444,959,561,221,209,7.8,39,4.7,179,10,221,10.7,15,5.5,287,11.1,14,1.9,84,31,400,10.4
1400000US55009001600,647,489,659,354,388,1045,782,571,367,254,367,151,116,30.3,3934,63.6,448,7.2,44,0.7,333,5.4,865,14,566,9.1,1691,27.3,27.5,127,54.3,157,5.5,44,23.7,36,20.8,31,16.1,37,32.8,119,6.5,13,12.1,43,24.7,19,3621,2761,2340,657,553,17.8,92,5.4,513,16.3,604,19.9,90,14.2,570,16.2,399,28.6,58,9,1117,18
1400000US55009001701,327,258,181,341,743,461,603,438,164,99,102,82,39,26.6,2248,58.6,165,4.3,184,4.8,344,9,809,21.1,88,2.3,1660,43.3,35.1,59,61.3,266,2.1,9,12,6,12.7,8,20.7,34,19.3,23,45,50,19.1,30,48.9,183,2321,2082,1931,357,429,30,301,18.1,602,30.5,376,20.1,31,13.9,609,22.7,159,26.3,179,54.7,978,25.5
1400000US55009001702,384,269,221,262,505,762,394,261,217,149,180,110,14,26.4,2786,74.7,104,2.8,29,0.8,265,7.1,385,10.3,159,4.3,1160,31.1,42.5,172,53.5,170,12.7,59,23.9,27,17.5,22,22,27,35.9,71,21.6,30,35.9,61,52.6,163,1910,1588,1162,482,480,23.1,346,30.1,485,27.4,585,30.5,51,16.8,657,27.4,212,35.1,150,39.1,1070,29
1400000US55009001801,415,215,272,369,460,939,705,672,312,331,313,283,170,35.6,4368,80.1,282,5.2,91,1.7,154,2.8,494,9.1,67,1.2,722,13.2,41.7,192,36.5,103,6.1,21,19.2,41,50,42,18.7,31,19,20,24.2,23,21.4,57,63.5,94,1279,747,645,303,397,10.6,56,8.8,387,15.8,159,6.9,83,13.1,360,11.9,74,10.3,29,7.6,546,11.5
1400000US55009001802,330,275,314,1086,1223,716,495,696,264,241,306,95,101,23,5717,93.1,33,0.5,56,0.9,190,3.1,55,0.9,91,1.5,192,3.1,46.1,77,48,135,2.5,9,46.7,42,18.8,13,0,0,3.4,5,25,9,26.6,55,50.3,97,807,690,573,84,373,8.9,18,15.8,285,12.3,169,7.4,55,11,243,8.5,113,12.6,43,13,454,9.9
1400000US55009002001,728,500,539,363,682,1051,823,1274,495,483,839,386,367,41.3,7121,83.5,106,1.2,96,1.1,420,4.9,460,5.4,327,3.8,887,10.4,33.5,264,32,135,1.5,12,26.4,104,16.8,56,12.3,19,4.5,14,0,0,34.5,135,35.9,83,2846,1972,1710,304,631,9.4,563,63.5,910,21.5,533,12.7,173,11.4,705,14.3,185,14.8,380,52.2,1443,17.1
1400000US55009002002,500,477,274,161,466,989,519,639,371,413,219,162,61,32.8,4215,80.3,15,0.3,0,0,487,9.3,327,6.2,207,3.9,852,16.2,53.5,131,34.9,129,2.9,15,2.5,2,100,16,19.4,43,15.8,24,13,14,33.6,109,28.6,67,1443,1055,819,500,192,5.1,179,21,348,13.3,343,13.3,18,4.1,383,11.1,208,24.1,82,18.7,691,13.3
1400000US55009002003,416,239,112,153,350,476,364,524,198,180,187,121,43,33.8,2947,87.6,259,7.7,0,0,93,2.8,11,0.3,53,1.6,163,4.8,23.1,21,36.1,73,2.8,10,16.7,10,50,9,1.2,1,6.9,12,26.2,11,4.9,6,36.7,55,710,424,367,63,114,4,6,3.7,246,13.2,104,6.9,19,5.4,185,8.7,8,1.7,138,33.2,350,10.4
1400000US55009010100,318,321,384,457,372,631,632,1076,584,465,530,243,112,44.5,5797,94.6,0,0,111,1.8,0,0,79,1.3,138,2.3,145,2.4,26.7,95,19.5,50,0,0,8.9,14,22.8,46,11,28,14.9,20,0,0,0,0,27.2,37,858,627,577,78,328,5.7,0,0,233,7.1,140,4.9,74,8.4,268,6.8,16,1.6,15,4.7,373,6.1
1400000US55009010201,182,212,114,1008,1158,298,409,300,198,142,250,219,145,21.6,4343,93.7,30,0.6,125,2.7,39,0.8,22,0.5,76,1.6,281,6.1,35.8,143,34.4,56,0,0,20.8,47,3,3,42.3,60,10.8,8,2.9,2,19.1,17,31.2,62,878,641,504,89,293,11,10,5.1,205,13.3,184,12.4,50,8.1,226,13,74,15.1,39,21.4,389,12.9
1400000US55009010202,329,256,381,376,249,713,580,812,438,390,376,132,119,39.6,4743,92.1,123,2.4,76,1.5,40,0.8,24,0.5,145,2.8,94,1.8,9.5,30,32.4,45,0,0,0,0,0,0,0,0,9.2,13,17.5,14,17.6,36,14,12,1005,716,476,151,208,4.6,42,44.7,173,6.7,148,6,26,4.6,154,4.7,76,8.4,65,19.8,321,6.4
1400000US55009010300,457,412,459,447,503,900,719,1117,322,445,463,406,151,37.8,5994,88.1,290,4.3,81,1.2,122,1.8,32,0.5,282,4.1,414,6.1,5.2,17,21.3,58,3.4,22,0.6,1,0.7,1,7.9,14,8.9,18,2,1,20,62,0,0,1254,985,673,82,227,3.8,0,0,254,7.6,146,4.3,2,0.2,188,4.6,64,5.4,146,31.9,400,5.9
