geoID,geoDisplayLabel,foodAssistPercent
1400000US55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",45.1
1400000US55079000102,"Census Tract 1.02, Milwaukee County, Wisconsin",19.8
1400000US55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",41.6
1400000US55079000202,"Census Tract 2.02, Milwaukee County, Wisconsin",20.8
1400000US55079000301,"Census Tract 3.01, Milwaukee County, Wisconsin",3.4
1400000US55079000302,"Census Tract 3.02, Milwaukee County, Wisconsin",39.9
1400000US55079000303,"Census Tract 3.03, Milwaukee County, Wisconsin",16.6
1400000US55079000304,"Census Tract 3.04, Milwaukee County, Wisconsin",10.6
1400000US55079000400,"Census Tract 4, Milwaukee County, Wisconsin",34.1
1400000US55079000501,"Census Tract 5.01, Milwaukee County, Wisconsin",27.4
1400000US55079000502,"Census Tract 5.02, Milwaukee County, Wisconsin",44.1
1400000US55079000600,"Census Tract 6, Milwaukee County, Wisconsin",34
1400000US55079000700,"Census Tract 7, Milwaukee County, Wisconsin",29.3
1400000US55079000800,"Census Tract 8, Milwaukee County, Wisconsin",19.4
1400000US55079000900,"Census Tract 9, Milwaukee County, Wisconsin",40.5
1400000US55079001000,"Census Tract 10, Milwaukee County, Wisconsin",39.1
1400000US55079001100,"Census Tract 11, Milwaukee County, Wisconsin",34.1
1400000US55079001200,"Census Tract 12, Milwaukee County, Wisconsin",51.4
1400000US55079001300,"Census Tract 13, Milwaukee County, Wisconsin",40.2
1400000US55079001400,"Census Tract 14, Milwaukee County, Wisconsin",47.7
1400000US55079001500,"Census Tract 15, Milwaukee County, Wisconsin",44.8
1400000US55079001600,"Census Tract 16, Milwaukee County, Wisconsin",36.8
1400000US55079001700,"Census Tract 17, Milwaukee County, Wisconsin",27
1400000US55079001800,"Census Tract 18, Milwaukee County, Wisconsin",42.6
1400000US55079001900,"Census Tract 19, Milwaukee County, Wisconsin",47.7
1400000US55079002000,"Census Tract 20, Milwaukee County, Wisconsin",47.5
1400000US55079002100,"Census Tract 21, Milwaukee County, Wisconsin",52.4
1400000US55079002200,"Census Tract 22, Milwaukee County, Wisconsin",25
1400000US55079002300,"Census Tract 23, Milwaukee County, Wisconsin",37.8
1400000US55079002400,"Census Tract 24, Milwaukee County, Wisconsin",45.8
1400000US55079002500,"Census Tract 25, Milwaukee County, Wisconsin",45
1400000US55079002600,"Census Tract 26, Milwaukee County, Wisconsin",34.9
1400000US55079002700,"Census Tract 27, Milwaukee County, Wisconsin",35
1400000US55079002800,"Census Tract 28, Milwaukee County, Wisconsin",52.1
1400000US55079002900,"Census Tract 29, Milwaukee County, Wisconsin",39.4
1400000US55079003000,"Census Tract 30, Milwaukee County, Wisconsin",36.3
1400000US55079003100,"Census Tract 31, Milwaukee County, Wisconsin",17.9
1400000US55079003200,"Census Tract 32, Milwaukee County, Wisconsin",24.6
1400000US55079003300,"Census Tract 33, Milwaukee County, Wisconsin",29.3
1400000US55079003400,"Census Tract 34, Milwaukee County, Wisconsin",23.6
1400000US55079003500,"Census Tract 35, Milwaukee County, Wisconsin",26.4
1400000US55079003600,"Census Tract 36, Milwaukee County, Wisconsin",38.9
1400000US55079003700,"Census Tract 37, Milwaukee County, Wisconsin",27.5
1400000US55079003800,"Census Tract 38, Milwaukee County, Wisconsin",36.5
1400000US55079003900,"Census Tract 39, Milwaukee County, Wisconsin",36.5
1400000US55079004000,"Census Tract 40, Milwaukee County, Wisconsin",50.2
1400000US55079004100,"Census Tract 41, Milwaukee County, Wisconsin",32.2
1400000US55079004200,"Census Tract 42, Milwaukee County, Wisconsin",59.6
1400000US55079004300,"Census Tract 43, Milwaukee County, Wisconsin",41.6
1400000US55079004400,"Census Tract 44, Milwaukee County, Wisconsin",31.6
1400000US55079004500,"Census Tract 45, Milwaukee County, Wisconsin",55.3
1400000US55079004600,"Census Tract 46, Milwaukee County, Wisconsin",53.5
1400000US55079004700,"Census Tract 47, Milwaukee County, Wisconsin",54
1400000US55079004800,"Census Tract 48, Milwaukee County, Wisconsin",56.5
1400000US55079004900,"Census Tract 49, Milwaukee County, Wisconsin",31.3
1400000US55079005000,"Census Tract 50, Milwaukee County, Wisconsin",29.8
1400000US55079005100,"Census Tract 51, Milwaukee County, Wisconsin",40.9
1400000US55079005200,"Census Tract 52, Milwaukee County, Wisconsin",14.3
1400000US55079005300,"Census Tract 53, Milwaukee County, Wisconsin",16.4
1400000US55079005400,"Census Tract 54, Milwaukee County, Wisconsin",8.1
1400000US55079005500,"Census Tract 55, Milwaukee County, Wisconsin",6.7
1400000US55079005600,"Census Tract 56, Milwaukee County, Wisconsin",3.1
1400000US55079005700,"Census Tract 57, Milwaukee County, Wisconsin",12.7
1400000US55079005800,"Census Tract 58, Milwaukee County, Wisconsin",19.8
1400000US55079005900,"Census Tract 59, Milwaukee County, Wisconsin",36.1
1400000US55079006000,"Census Tract 60, Milwaukee County, Wisconsin",51
1400000US55079006100,"Census Tract 61, Milwaukee County, Wisconsin",33.7
1400000US55079006200,"Census Tract 62, Milwaukee County, Wisconsin",57.1
1400000US55079006300,"Census Tract 63, Milwaukee County, Wisconsin",49.1
1400000US55079006400,"Census Tract 64, Milwaukee County, Wisconsin",51
1400000US55079006500,"Census Tract 65, Milwaukee County, Wisconsin",60.3
1400000US55079006600,"Census Tract 66, Milwaukee County, Wisconsin",60.6
1400000US55079006700,"Census Tract 67, Milwaukee County, Wisconsin",56
1400000US55079006800,"Census Tract 68, Milwaukee County, Wisconsin",65.5
1400000US55079006900,"Census Tract 69, Milwaukee County, Wisconsin",68.2
1400000US55079007000,"Census Tract 70, Milwaukee County, Wisconsin",61.1
1400000US55079007100,"Census Tract 71, Milwaukee County, Wisconsin",20.5
1400000US55079007200,"Census Tract 72, Milwaukee County, Wisconsin",25.6
1400000US55079007300,"Census Tract 73, Milwaukee County, Wisconsin",9.4
1400000US55079007400,"Census Tract 74, Milwaukee County, Wisconsin",3
1400000US55079007500,"Census Tract 75, Milwaukee County, Wisconsin",1.8
1400000US55079007600,"Census Tract 76, Milwaukee County, Wisconsin",5.6
1400000US55079007700,"Census Tract 77, Milwaukee County, Wisconsin",7.8
1400000US55079007800,"Census Tract 78, Milwaukee County, Wisconsin",11.9
1400000US55079007900,"Census Tract 79, Milwaukee County, Wisconsin",16.1
1400000US55079008000,"Census Tract 80, Milwaukee County, Wisconsin",25.6
1400000US55079008100,"Census Tract 81, Milwaukee County, Wisconsin",60.3
1400000US55079008400,"Census Tract 84, Milwaukee County, Wisconsin",74.7
1400000US55079008500,"Census Tract 85, Milwaukee County, Wisconsin",69.9
1400000US55079008600,"Census Tract 86, Milwaukee County, Wisconsin",49
1400000US55079008700,"Census Tract 87, Milwaukee County, Wisconsin",50.1
1400000US55079008800,"Census Tract 88, Milwaukee County, Wisconsin",72.5
1400000US55079008900,"Census Tract 89, Milwaukee County, Wisconsin",50.7
1400000US55079009000,"Census Tract 90, Milwaukee County, Wisconsin",55.2
1400000US55079009100,"Census Tract 91, Milwaukee County, Wisconsin",42.7
1400000US55079009200,"Census Tract 92, Milwaukee County, Wisconsin",33.6
1400000US55079009300,"Census Tract 93, Milwaukee County, Wisconsin",18
1400000US55079009400,"Census Tract 94, Milwaukee County, Wisconsin",12.7
1400000US55079009500,"Census Tract 95, Milwaukee County, Wisconsin",10.3
1400000US55079009600,"Census Tract 96, Milwaukee County, Wisconsin",59.6
1400000US55079009700,"Census Tract 97, Milwaukee County, Wisconsin",40.5
1400000US55079009800,"Census Tract 98, Milwaukee County, Wisconsin",67
1400000US55079009900,"Census Tract 99, Milwaukee County, Wisconsin",56.9
1400000US55079010600,"Census Tract 106, Milwaukee County, Wisconsin",34.6
1400000US55079010700,"Census Tract 107, Milwaukee County, Wisconsin",12.6
1400000US55079010800,"Census Tract 108, Milwaukee County, Wisconsin",13.2
1400000US55079011000,"Census Tract 110, Milwaukee County, Wisconsin",17.6
1400000US55079011100,"Census Tract 111, Milwaukee County, Wisconsin",9.3
1400000US55079011200,"Census Tract 112, Milwaukee County, Wisconsin",27.8
1400000US55079011300,"Census Tract 113, Milwaukee County, Wisconsin",17.5
1400000US55079011400,"Census Tract 114, Milwaukee County, Wisconsin",4.9
1400000US55079012200,"Census Tract 122, Milwaukee County, Wisconsin",52.6
1400000US55079012300,"Census Tract 123, Milwaukee County, Wisconsin",49.8
1400000US55079012400,"Census Tract 124, Milwaukee County, Wisconsin",23.8
1400000US55079012500,"Census Tract 125, Milwaukee County, Wisconsin",6.5
1400000US55079012600,"Census Tract 126, Milwaukee County, Wisconsin",9.5
1400000US55079012700,"Census Tract 127, Milwaukee County, Wisconsin",8.8
1400000US55079012800,"Census Tract 128, Milwaukee County, Wisconsin",15.8
1400000US55079012900,"Census Tract 129, Milwaukee County, Wisconsin",11.2
1400000US55079013000,"Census Tract 130, Milwaukee County, Wisconsin",21.9
1400000US55079013300,"Census Tract 133, Milwaukee County, Wisconsin",27.6
1400000US55079013400,"Census Tract 134, Milwaukee County, Wisconsin",59.1
1400000US55079013500,"Census Tract 135, Milwaukee County, Wisconsin",59.4
1400000US55079013600,"Census Tract 136, Milwaukee County, Wisconsin",42.9
1400000US55079013700,"Census Tract 137, Milwaukee County, Wisconsin",60.3
1400000US55079014100,"Census Tract 141, Milwaukee County, Wisconsin",49.1
1400000US55079014300,"Census Tract 143, Milwaukee County, Wisconsin",3.4
1400000US55079014400,"Census Tract 144, Milwaukee County, Wisconsin",0.5
1400000US55079014600,"Census Tract 146, Milwaukee County, Wisconsin",33.3
1400000US55079014700,"Census Tract 147, Milwaukee County, Wisconsin",39.5
1400000US55079014800,"Census Tract 148, Milwaukee County, Wisconsin",37.5
1400000US55079014900,"Census Tract 149, Milwaukee County, Wisconsin",33.1
1400000US55079015700,"Census Tract 157, Milwaukee County, Wisconsin",51.3
1400000US55079015800,"Census Tract 158, Milwaukee County, Wisconsin",48.5
1400000US55079015900,"Census Tract 159, Milwaukee County, Wisconsin",47
1400000US55079016000,"Census Tract 160, Milwaukee County, Wisconsin",56.2
1400000US55079016100,"Census Tract 161, Milwaukee County, Wisconsin",42.8
1400000US55079016200,"Census Tract 162, Milwaukee County, Wisconsin",35.5
1400000US55079016300,"Census Tract 163, Milwaukee County, Wisconsin",56.5
1400000US55079016400,"Census Tract 164, Milwaukee County, Wisconsin",60.4
1400000US55079016500,"Census Tract 165, Milwaukee County, Wisconsin",51
1400000US55079016600,"Census Tract 166, Milwaukee County, Wisconsin",50.5
1400000US55079016700,"Census Tract 167, Milwaukee County, Wisconsin",56.1
1400000US55079016800,"Census Tract 168, Milwaukee County, Wisconsin",54.6
1400000US55079016900,"Census Tract 169, Milwaukee County, Wisconsin",56.3
1400000US55079017000,"Census Tract 170, Milwaukee County, Wisconsin",43.6
1400000US55079017100,"Census Tract 171, Milwaukee County, Wisconsin",30.6
1400000US55079017200,"Census Tract 172, Milwaukee County, Wisconsin",40.2
1400000US55079017300,"Census Tract 173, Milwaukee County, Wisconsin",42.3
1400000US55079017400,"Census Tract 174, Milwaukee County, Wisconsin",56.9
