_id,IncidentNum,ReportedDateTime,Location,WeaponUsed,RoughX,RoughY
147,182550010,9/12/2018 1:03,4327 N 26TH ST,"FIREARM,HANDGUN",2548698.07,405893.485
358,182500130,9/7/2018 17:45,5750 W FOND DU LAC AV,FIREARM,2538395.74,405985.855
596,182460176,9/3/2018 21:24,2841 W HIGHLAND BL,LETHAL CUTTING INSTRUMENT,2548574.205,387439.533
1213,182380099,8/26/2018 14:31,3210 W BROWN ST,FIREARM,2546808.304,391731.245
1261,182370183,8/25/2018 23:20,8601 W LANCASTER AV,"FIREARM,HANDGUN",2529521.387,411002.312
1413,182360040,8/24/2018 6:57,2541 N 15TH ST,HANDGUN,2552783.522,394664.536
1732,182320034,8/20/2018 5:10,2922 W VINE ST,FIREARM,2547896.848,391214.611
1883,182300128,8/18/2018 17:30,3127 W OKLAHOMA AV,FIREARM,2547564.846,366992.089
2170,182270097,8/15/2018 14:49,602 W CENTER ST,"FIREARM,HANDGUN",2556210.816,396034.961
2421,182240156,8/12/2018 20:22,1000 W BURLEIGH ST,FIREARM,2554713.074,398659.771
2438,182240119,8/12/2018 16:54,3165 N 20TH ST,HANDGUN,2551079.607,398890.371
2478,182240023,8/12/2018 1:53,7602 W MELVINA ST,FIREARM,2532300.982,402922.921
2673,182220028,8/10/2018 4:42,139 S 72ND ST,DRUGS/NARCOTICS/SLEEPING PILLS,2534081.433,382324.058
2804,182200092,8/8/2018 13:58,2614 N 35TH ST,FIREARM,2545801.227,395226.838
2915,182180164,8/6/2018 21:25,2656 N 5TH ST,FIREARM,2556599.884,395378.257
3225,182150015,8/3/2018 0:40,2660 N 36TH ST,HANDGUN,2545480.427,395216.587
3938,182060133,7/25/2018 17:04,2451 N 28TH ST,FIREARM,2548159.867,393961.223
5299,181910139,7/10/2018 16:45,952 W LINCOLN AV,PERSONAL WEAPON,2555409.124,372409.264
5605,181880030,7/7/2018 3:30,3265 N HOLTON ST,HANDGUN,2559668.45,399400.967
6260,181810009,6/30/2018 0:10,6330 W SILVER SPRING DR,HANDGUN,2537078.627,414442.013
6430,181780179,6/27/2018 22:36,2839 N 22ND ST,FIREARM,2550441.106,396645.288
6631,181770027,6/26/2018 4:06,2511 W NATIONAL AV,FIREARM,2549514.298,379378.478
6634,181770026,6/26/2018 3:29,2775 N 15TH ST,,2552766.07,395995.959
8041,181610139,6/10/2018 21:27,8616 W CONGRESS ST,FIREARM,2529166.587,406127.897
9169,181480085,5/28/2018 13:35,3540 N HUMBOLDT BL,FIREARM,2561656.135,401416.821
9218,181480155,5/27/2018 23:00,2610 S 8TH ST,LETHAL CUTTING INSTRUMENT,2556075.467,370531.137
9316,181460166,5/26/2018 22:49,4290 N 26TH ST,FIREARM,2548702.475,405038.01
9387,181460028,5/26/2018 3:15,2841 N 19TH ST,"FIREARM,HANDGUN",2551279.337,396648.22
9590,181430179,5/23/2018 22:59,7929 W BECKETT AV,FIREARM,2531112.54,407542.213
10085,181380059,5/18/2018 11:10,3926 W GOOD HOPE RD,HANDGUN,2544636.226,425262.007
10370,181360090,5/15/2018 1:00,6522 N 70TH ST,LETHAL CUTTING INSTRUMENT,2534327.711,420391.923
10429,181340076,5/14/2018 12:40,3574 N 11TH ST,FIREARM,2554366.214,401287.944
10453,181340021,5/14/2018 3:09,3842 N 25TH ST,,2548997.002,402625.954
10561,181320091,5/12/2018 20:22,7835 W PALMETTO AV,HANDGUN,2531779.063,410235.617
10618,181320019,5/12/2018 2:04,2071 S 13TH ST,FIREARM,2554121.084,374365.953
11365,181230107,5/3/2018 17:42,2630 W AUER AV,FIREARM,2548760.672,399280.95
12589,181110118,4/22/2018 1:30,2960 N 18TH ST,HANDG,2551586.447,397315.385
13055,181070014,4/17/2018 2:39,2219 W ORCHARD ST,HANDG/RIFLE,2550675.827,377092.717
13085,181060074,4/16/2018 15:48,1117 W BURNHAM ST,HANDG,2554812.939,375063.749
13092,181060068,4/16/2018 14:15,2428 W MONROE ST,HANDG,2549685.908,394964.625
13218,181050033,4/14/2018 23:41,3423 N 77TH ST,HANDG/KNIFE,2532015.284,400163.877
13290,181040020,4/14/2018 4:39,1522 S 11TH ST,HANDG,2554818.507,377203.309
13532,181010080,4/11/2018 13:48,6210 W SHERIDAN AV,HANDG,2537078.665,414092.568
13536,181010078,4/11/2018 13:31,3132 N 56TH ST,HANDG,2538872.917,398428.237
13862,180980025,4/8/2018 3:15,1133 N 18TH ST #3,FIRE,2551895.928,387453.241
14657,180890051,3/30/2018 11:04,2012 W BURLEIGH ST,HANDG,2551081.94,398638.992
15083,180850017,3/26/2018 5:31,9825 W CARMEN AV #REAR,HANDG,2524739.337,415531.858
15264,180830023,3/24/2018 3:56,1951 N 33RD ST,HANDG,2546495.391,391245.705
15471,180800111,3/21/2018 19:14,3126 N 92ND ST,GUN,2526983.872,398047.624
15895,180760090,3/17/2018 14:35,1702 N 7TH ST,GUN,2555898.996,390549.53
16061,180740172,3/15/2018 23:26,4260 N 27TH ST #1,HANDG,2548368.316,405037.957
16245,180730053,3/14/2018 13:10,1231 S 17TH ST,HANDG,2552410.687,378262.781
17000,180640100,3/5/2018 17:36,2111 S 15TH PL,HANDG,2553060.852,373697.747
17149,180630034,3/4/2018 5:29,3384 N 22ND ST,KNIFE/HANDS,2550411.462,399953.944
17506,180580167,2/27/2018 22:55,6622 N BOURBON ST #11,HANDG,2523187.114,420579.496
17758,180560003,2/24/2018 23:42,2735 N 41ST ST,HANDG,2543889.046,395846.037
18094,180510178,2/20/2018 22:19,3735 N 6TH ST,HANDG,2556018.972,402035.998
18423,180490030,2/18/2018 2:31,3620 N 3RD ST,HANDS,2557324.275,401347.719
18461,180480083,2/17/2018 16:29,2411 S 5TH PL,HANDG,2556953.936,372065.697
18696,180460013,2/15/2018 0:35,9253 N 75TH ST #G,HANDS,2532631.654,438041.317
20082,180290121,1/29/2018 18:50,3249 N 10TH ST,GUN,2554713.074,398659.771
20493,180250100,1/25/2018 16:08,2245 N 44TH ST,HANDG,2542807.566,392664.502
20756,180220167,1/22/2018 20:49,927 N 27TH ST,HANDG,2548621.346,386390.229
21834,180110153,1/11/2018 20:23,2801 N 41ST ST,HANDG,2543881.092,396506.87
22086,180090119,1/9/2018 19:03,3109 N 6TH ST,HANDG,2556086.42,398677.853
22677,173620042,1/2/2018 22:58,9838 W FOND DU LAC AV,,2524635.907,419985.566
22874,173650100,1/1/2018 1:56,5477 N 40TH ST,GUN,2544037.669,413244.878
24113,173530140,12/19/2017 21:52,4187 N 16TH ST,GUN,2552706.925,404610.784
24476,173500119,12/16/2017 18:38,2432 W AUER AV,RIFLE,2549753.756,399283.818
24771,173470070,12/13/2017 14:09,2640 N 24TH ST,HANDG,2549793.982,395308.232
25113,173440051,12/10/2017 9:43,3801 W NORTH AV,HANDG,2544869.999,393214.128
25193,173430088,12/9/2017 15:36,1002 S 22ND ST,HANDG,2550634.647,378960.941
25392,173410064,12/7/2017 14:12,8147 W THURSTON AV,GUN,2530689.416,415112.044
25763,173380021,12/4/2017 3:15,1424 W MINERAL ST,HANDG,2553731.333,379036.749
25907,173360113,12/2/2017 18:08,9020 N 95TH ST,HANDG,2525859.532,435433.014
26120,173340120,11/30/2017 17:53,3873 N 9TH ST,HANDG,2555022.059,402923.342
26252,173330100,11/29/2017 15:45,4652 N 42ND ST,HANDG,2543438.05,408142.95
26827,173280073,11/24/2017 16:26,1403 N 38TH ST,HANDG,2545066.163,388893.8
26960,173270049,11/23/2017 9:19,2757 N 36TH ST,HANDG,2545471.716,395885.674
